Year;Tsum;Swin;Pwin;Nwin;Fsprat;Fher;Fcod
1979;14.95391312;15.32976433;0.595083333;3.438333333;0.1956;0.1954;0.597
1980;16.0807278;15.00801814;0.409570175;1.8333;0.2105;0.1873;0.7
1981;15.49184796;15.6560154;0.456547414;3.255117284;0.1279;0.2029;0.788
1982;18.33455986;13.7381216;0.590990196;3.713166667;0.2254;0.174;0.795
1983;17.30366667;16.39120786;0.758345126;4.511711039;0.109;0.2243;0.744
1984;17.35101692;16.24815819;0.619498667;2.933098039;0.157;0.2238;0.839
1985;14.90283785;15.97107161;0.765641577;3.428093333;0.1548;0.2298;0.829
1986;16.22305081;14.24911671;0.5067;2.398392157;0.2028;0.2024;0.998
1987;12.81472222;14.69913271;0.584247619;3.324239583;0.2605;0.2307;0.938
1988;17.10037701;14.03064961;0.482564103;3.018333333;0.2293;0.219;0.888
1989;16.24081847;14.38516516;0.395151163;1.652288288;0.2048;0.2903;1.035
1990;17.27843561;13.57774756;0.4581875;2.161607843;0.1319;0.2754;1.199
1991;17.62360173;13.54173614;0.494407407;2.96147619;0.1706;0.2841;1.348
1992;17.8778641;14.91412954;0.493388889;3.180487179;0.1989;0.2537;1.01
1993;15.13212355;16.26178863;0.569372449;3.020005102;0.1602;0.2866;0.553
1994;17.61805993;17.23458082;0.343753086;2.249345679;0.2566;0.3452;0.61
1995;18.13954416;16.83411395;0.346387446;2.459367725;0.3332;0.3241;0.767
1996;14.93680848;15.94838543;0.322152778;2.032763889;0.2827;0.326;0.909
1997;18.5293911;15.82887207;0.420045455;2.981060606;0.3876;0.3623;1.013
1998;15.61866358;16.61262078;0.3913;2.155474747;0.381;0.3799;0.964
1999;19.49082258;15.68823541;0.458511111;2.874955556;0.3676;0.3211;0.924
2000;16.16504906;16.27348063;0.5585625;3.165416667;0.3088;0.422;0.994
2001;18.55974498;15.53363348;0.523611111;2.391666667;0.2853;0.3558;1.061
2002;17.55432355;15.4102245;0.44815;2.0253;0.3703;0.3063;1.081
2003;18.7117416;17.08597339;0.536166667;3.201916667;0.3991;0.228;1.063
2004;15.75320237;17.16762328;0.395205882;1.598117647;0.4703;0.1917;1.224
2005;17.69144734;16.35034684;0.734296296;1.466925926;0.4366;0.1653;1.003
2006;20.71364885;15.64897238;0.676871795;1.432769231;0.3628;0.1752;0.906
2007;15.94047669;16.4590788;0.560930556;1.630305556;0.3413;0.1842;0.771
2008;18.91094766;15.35090057;0.617607843;2.117866667;0.3538;0.1956;0.552